Batch, World, Method, Experiment, #obstacles passed, #obstacles identified, #targets passed, #targets identified,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b9,w2,opt,s0,10,9,1,0,V,V,V,V,V,V,V,X,V,V,X,O,O
b9,w2,opt,s6,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b9,w2,opt,s11,10,8,1,1,X,V,V,V,V,V,V,X,V,V,V,O,O
b9,w2,opt,s4,10,9,1,1,V,V,V,V,V,V,V,X,V,V,V,O,O
b9,w2,opt,s2,10,9,1,1,V,V,V,V,V,X,V,V,V,V,V,O,O
b9,w2,opt,s12,10,9,1,1,V,V,V,V,V,X,V,V,V,V,V,O,O
b9,w2,opt,s5,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b9,w2,opt,s3,10,8,1,1,V,V,V,V,V,X,V,X,V,V,V,O,O
b9,w2,opt,s10,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b9,w2,opt,s7,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b9,w2,opt,s15,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b9,w2,opt,s14,10,9,1,1,V,V,V,V,V,V,V,V,X,V,V,O,O
b9,w2,opt,s1,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b9,w2,opt,s13,10,9,1,1,V,V,V,V,V,X,V,V,V,V,V,O,O
b9,w2,opt,s8,10,10,1,0,V,V,V,V,V,V,V,V,V,V,X,O,O
b9,w2,opt,s9,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b9,w2,APBITE 4.0-1,s13,10,4,1,0,X,X,V,V,V,X,X,X,X,V,X,O,O
b9,w2,APBITE 4.0-1,s10,10,6,1,0,V,X,X,X,V,V,V,X,V,V,X,O,O
b9,w2,APBITE 4.0-1,s1,10,6,1,1,X,V,V,X,V,X,V,X,V,V,V,O,O
b9,w2,APBITE 4.0-1,s8,10,8,1,1,X,V,V,V,V,V,V,X,V,V,V,O,O
b9,w2,APBITE 4.0-1,s5,10,2,1,0,X,X,V,X,X,X,X,X,X,V,X,O,O
b9,w2,APBITE 4.0-1,s6,10,5,1,1,V,X,X,X,V,V,V,X,V,X,V,O,O
b9,w2,APBITE 4.0-1,s12,10,5,1,0,X,X,V,X,X,V,V,X,V,V,X,O,O
b9,w2,APBITE 4.0-1,s11,10,6,1,0,X,X,V,V,V,X,V,X,V,V,X,O,O
b9,w2,APBITE 4.0-1,s7,10,6,1,0,X,V,V,V,V,X,X,V,V,X,X,O,O
b9,w2,APBITE 4.0-1,s2,10,9,1,0,V,V,V,X,V,V,V,V,V,V,X,O,O
b9,w2,APBITE 4.0-1,s0,10,5,1,1,X,X,V,V,V,X,V,X,V,X,V,O,O
b9,w2,APBITE 4.0-1,s9,10,8,1,1,V,V,V,X,V,V,V,X,V,V,V,O,O
b9,w2,APBITE 4.0-1,s14,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b9,w2,APBITE 4.0-1,s15,10,8,1,1,V,V,V,X,V,X,V,V,V,V,V,O,O
b9,w2,APBITE 4.0-1,s3,10,7,1,1,V,V,X,X,V,X,V,V,V,V,V,O,O
b9,w2,APBITE 4.0-1,s4,10,4,1,1,X,X,V,X,V,X,X,X,V,V,V,O,O
b9,w2,APBITE 1.0-1.0,s5,10,4,1,1,X,X,X,X,V,X,V,V,V,X,V,O,O
b9,w2,APBITE 1.0-1.0,s2,10,4,1,0,X,X,V,V,X,X,X,V,V,X,X,O,O
b9,w2,APBITE 1.0-1.0,s0,10,5,1,0,X,X,V,V,V,X,V,X,V,X,X,O,O
