Batch, World, Method, Experiment, #obstacles passed, #obstacles identified, #targets passed, #targets identified,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b19,w4,opt,s14,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s4,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s1,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s6,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s10,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s12,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s15,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s2,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b19,w4,opt,s0,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s5,10,9,1,1,V,V,V,V,V,V,X,V,V,V,V,O,O
b19,w4,opt,s11,10,9,1,1,V,V,V,V,V,X,V,V,V,V,V,O,O
b19,w4,opt,s9,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s3,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s7,10,9,1,1,X,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s8,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,opt,s13,10,10,1,1,V,V,V,V,V,V,V,V,V,V,V,O,O
b19,w4,APBITE 4.0-1.0,s12,10,6,1,1,X,X,V,V,X,V,V,V,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s14,10,5,1,1,X,X,V,V,X,X,V,V,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s7,10,4,1,1,X,V,V,V,V,X,X,X,X,X,V,O,O
b19,w4,APBITE 4.0-1.0,s10,10,6,1,1,V,V,V,X,V,V,X,X,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s11,10,4,1,1,X,V,V,X,X,X,V,V,X,X,V,O,O
b19,w4,APBITE 4.0-1.0,s4,10,3,1,1,X,X,V,X,V,X,X,X,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s15,10,4,1,1,X,X,V,V,V,X,X,X,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s5,10,4,1,1,X,V,X,V,V,X,X,X,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s2,10,8,1,1,V,V,V,V,V,X,V,V,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s1,10,6,1,1,X,V,V,V,V,X,X,V,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s13,10,6,1,1,V,X,V,X,V,X,V,V,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s6,10,4,1,1,X,V,V,X,X,V,X,X,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s9,10,6,1,1,X,X,V,X,V,X,V,V,V,V,V,O,O
b19,w4,APBITE 4.0-1.0,s3,10,5,1,1,V,V,V,X,X,X,X,X,V,V,V,O,O
b19,w4,APBITE 4.0-1.0,s0,10,4,1,1,V,X,V,X,V,X,X,X,V,X,V,O,O
b19,w4,APBITE 4.0-1.0,s8,10,6,1,1,X,V,V,V,V,X,X,X,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s14,10,8,1,1,V,V,V,X,V,V,V,X,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s5,10,5,1,1,X,V,V,X,V,X,X,X,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s15,10,8,1,1,X,V,V,V,V,V,X,V,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s2,10,5,1,1,X,X,V,V,X,V,X,X,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s7,10,7,1,0,X,X,V,V,V,X,V,V,V,V,X,O,O
b19,w4,APBITE 1.0-1.0,s8,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b19,w4,APBITE 1.0-1.0,s0,10,8,1,1,V,V,V,V,V,X,X,V,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s10,10,7,1,1,V,V,V,V,X,V,X,X,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s13,10,8,1,0,V,V,V,V,V,X,V,X,V,V,X,O,O
b19,w4,APBITE 1.0-1.0,s9,10,8,1,1,V,V,V,V,V,X,X,V,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s12,10,8,1,1,V,V,V,V,V,V,V,X,V,X,V,O,O
b19,w4,APBITE 1.0-1.0,s1,10,7,1,1,V,V,V,X,X,V,X,V,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s3,10,7,1,1,X,V,V,X,V,X,V,V,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s6,10,8,1,1,V,V,V,V,X,X,V,V,V,V,V,O,O
b19,w4,APBITE 1.0-1.0,s4,10,7,1,1,V,X,V,V,X,V,V,V,V,X,V,O,O
b19,w4,APBITE 1.0-1.0,s11,10,8,1,1,V,X,V,V,V,X,V,V,V,V,V,O,O
b19,w4,APBITE 4.0-4.0,s1,10,6,1,1,V,X,X,V,V,X,V,V,V,X,V,O,O
b19,w4,APBITE 4.0-4.0,s10,10,7,1,1,X,X,V,V,V,V,X,V,V,V,V,O,O
