Batch, World, Method, Experiment, #obstacles passed, #obstacles identified, #targets passed, #targets identified,73,70,52,59,16,17,18,19,20,21,target1,target2,target3
b15,w3,opt,s1,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s0,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s10,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s3,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s2,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s6,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,opt,s14,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s15,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s5,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s11,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s13,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s9,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,opt,s8,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,opt,s7,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s4,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,opt,s12,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s10,3,2,1,0,X,O,V,V,O,O,O,O,O,O,X,O,O
b15,w3,APBITE 4.0-1.0,s2,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,APBITE 4.0-1.0,s14,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s7,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,APBITE 4.0-1.0,s15,3,1,1,1,X,O,V,X,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s5,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s9,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s13,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s1,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s11,3,1,1,0,X,O,X,V,O,O,O,O,O,O,X,O,O
b15,w3,APBITE 4.0-1.0,s8,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s12,3,1,1,1,X,O,V,X,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s4,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s6,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-1.0,s0,3,2,1,0,X,O,V,V,O,O,O,O,O,O,X,O,O
b15,w3,APBITE 4.0-1.0,s3,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,APBITE 1.0-1.0,s13,3,2,0,0,X,O,V,V,O,O,O,O,O,O,O,O,O
b15,w3,APBITE 1.0-1.0,s6,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s8,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s15,3,3,1,0,V,O,V,V,O,O,O,O,O,O,X,O,O
b15,w3,APBITE 1.0-1.0,s5,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s3,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s12,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s11,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s10,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s2,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s1,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s0,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s14,0,0,0,0,O,O,O,O,O,O,O,O,O,O,O,O,O
b15,w3,APBITE 1.0-1.0,s7,3,2,1,0,X,O,V,V,O,O,O,O,O,O,X,O,O
b15,w3,APBITE 1.0-1.0,s9,3,3,1,1,V,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 1.0-1.0,s4,3,2,1,1,X,O,V,V,O,O,O,O,O,O,V,O,O
b15,w3,APBITE 4.0-4.0,s1,3,1,1,1,X,O,V,X,O,O,O,O,O,O,V,O,O
